npy_file,mif_file,shape,elements,data_width,scale,zero_point,m9k_blocks,size_kb
layer_000_Conv_32x3_3x3_b.npy,layer_000_Conv_32x3_3x3_b.mif,"(32,)",32,16,1.0,0,1,0.062
layer_000_Conv_32x3_3x3_w.npy,layer_000_Conv_32x3_3x3_w.mif,"(32, 3, 3, 3)",864,8,0.01821119,0,1,0.844
layer_001_DWConv_32x1_3x3_w.npy,layer_001_DWConv_32x1_3x3_w.mif,"(32, 1, 3, 3)",288,8,0.0026082,0,1,0.281
layer_002_Conv_8x32_1x1_b.npy,layer_002_Conv_8x32_1x1_b.mif,"(8,)",8,16,5.14e-06,0,1,0.016
layer_002_Conv_8x32_1x1_w.npy,layer_002_Conv_8x32_1x1_w.mif,"(8, 32, 1, 1)",256,8,0.00138594,0,1,0.25
layer_003_Conv_32x8_1x1_b.npy,layer_003_Conv_32x8_1x1_b.mif,"(32,)",32,16,1.04e-05,0,1,0.062
layer_003_Conv_32x8_1x1_w.npy,layer_003_Conv_32x8_1x1_w.mif,"(32, 8, 1, 1)",256,8,0.00277965,0,1,0.25
layer_004_Conv_16x32_1x1_w.npy,layer_004_Conv_16x32_1x1_w.mif,"(16, 32, 1, 1)",512,8,0.00138964,0,1,0.5
layer_005_Conv_96x16_1x1_w.npy,layer_005_Conv_96x16_1x1_w.mif,"(96, 16, 1, 1)",1536,8,0.00196713,0,2,1.5
layer_006_DWConv_96x1_3x3_w.npy,layer_006_DWConv_96x1_3x3_w.mif,"(96, 1, 3, 3)",864,8,0.00262456,0,1,0.844
layer_007_Conv_4x96_1x1_b.npy,layer_007_Conv_4x96_1x1_b.mif,"(4,)",4,16,1.92e-06,0,1,0.008
layer_007_Conv_4x96_1x1_w.npy,layer_007_Conv_4x96_1x1_w.mif,"(4, 96, 1, 1)",384,8,0.00080325,0,1,0.375
layer_008_Conv_96x4_1x1_b.npy,layer_008_Conv_96x4_1x1_b.mif,"(96,)",96,16,1.516e-05,0,1,0.188
layer_008_Conv_96x4_1x1_w.npy,layer_008_Conv_96x4_1x1_w.mif,"(96, 4, 1, 1)",384,8,0.0039311,0,1,0.375
layer_009_Conv_24x96_1x1_w.npy,layer_009_Conv_24x96_1x1_w.mif,"(24, 96, 1, 1)",2304,8,0.00080305,0,3,2.25
layer_010_Conv_144x24_1x1_w.npy,layer_010_Conv_144x24_1x1_w.mif,"(144, 24, 1, 1)",3456,8,0.00160673,0,4,3.375
layer_011_DWConv_144x1_3x3_w.npy,layer_011_DWConv_144x1_3x3_w.mif,"(144, 1, 3, 3)",1296,8,0.00261877,0,2,1.266
layer_012_Conv_6x144_1x1_b.npy,layer_012_Conv_6x144_1x1_b.mif,"(6,)",6,16,2.18e-06,0,1,0.012
layer_012_Conv_6x144_1x1_w.npy,layer_012_Conv_6x144_1x1_w.mif,"(6, 144, 1, 1)",864,8,0.00065597,0,1,0.844
layer_013_Conv_144x6_1x1_b.npy,layer_013_Conv_144x6_1x1_b.mif,"(144,)",144,16,1.241e-05,0,1,0.281
layer_013_Conv_144x6_1x1_w.npy,layer_013_Conv_144x6_1x1_w.mif,"(144, 6, 1, 1)",864,8,0.00321359,0,1,0.844
layer_014_Conv_24x144_1x1_w.npy,layer_014_Conv_24x144_1x1_w.mif,"(24, 144, 1, 1)",3456,8,0.00065615,0,4,3.375
layer_015_Conv_144x24_1x1_w.npy,layer_015_Conv_144x24_1x1_w.mif,"(144, 24, 1, 1)",3456,8,0.00160658,0,4,3.375
layer_016_DWConv_144x1_5x5_w.npy,layer_016_DWConv_144x1_5x5_w.mif,"(144, 1, 5, 5)",3600,8,0.00157476,0,4,3.516
layer_017_Conv_6x144_1x1_b.npy,layer_017_Conv_6x144_1x1_b.mif,"(6,)",6,16,2.47e-06,0,1,0.012
layer_017_Conv_6x144_1x1_w.npy,layer_017_Conv_6x144_1x1_w.mif,"(6, 144, 1, 1)",864,8,0.00065598,0,1,0.844
layer_018_Conv_144x6_1x1_b.npy,layer_018_Conv_144x6_1x1_b.mif,"(144,)",144,16,1.241e-05,0,1,0.281
layer_018_Conv_144x6_1x1_w.npy,layer_018_Conv_144x6_1x1_w.mif,"(144, 6, 1, 1)",864,8,0.00321398,0,1,0.844
layer_019_Conv_40x144_1x1_w.npy,layer_019_Conv_40x144_1x1_w.mif,"(40, 144, 1, 1)",5760,8,0.00065591,0,6,5.625
layer_020_Conv_240x40_1x1_w.npy,layer_020_Conv_240x40_1x1_w.mif,"(240, 40, 1, 1)",9600,8,0.00124477,0,10,9.375
layer_021_DWConv_240x1_5x5_w.npy,layer_021_DWConv_240x1_5x5_w.mif,"(240, 1, 5, 5)",6000,8,0.00157469,0,6,5.859
layer_022_Conv_10x240_1x1_b.npy,layer_022_Conv_10x240_1x1_b.mif,"(10,)",10,16,1.89e-06,0,1,0.02
layer_022_Conv_10x240_1x1_w.npy,layer_022_Conv_10x240_1x1_w.mif,"(10, 240, 1, 1)",2400,8,0.00050826,0,3,2.344
layer_023_Conv_240x10_1x1_b.npy,layer_023_Conv_240x10_1x1_b.mif,"(240,)",240,16,9.57e-06,0,1,0.469
layer_023_Conv_240x10_1x1_w.npy,layer_023_Conv_240x10_1x1_w.mif,"(240, 10, 1, 1)",2400,8,0.00248831,0,3,2.344
layer_024_Conv_40x240_1x1_w.npy,layer_024_Conv_40x240_1x1_w.mif,"(40, 240, 1, 1)",9600,8,0.00050824,0,10,9.375
layer_025_Conv_240x40_1x1_w.npy,layer_025_Conv_240x40_1x1_w.mif,"(240, 40, 1, 1)",9600,8,0.00124498,0,10,9.375
layer_026_DWConv_240x1_3x3_w.npy,layer_026_DWConv_240x1_3x3_w.mif,"(240, 1, 3, 3)",2160,8,0.00262444,0,3,2.109
layer_027_Conv_10x240_1x1_b.npy,layer_027_Conv_10x240_1x1_b.mif,"(10,)",10,16,1.53e-06,0,1,0.02
layer_027_Conv_10x240_1x1_w.npy,layer_027_Conv_10x240_1x1_w.mif,"(10, 240, 1, 1)",2400,8,0.00050796,0,3,2.344
layer_028_Conv_240x10_1x1_b.npy,layer_028_Conv_240x10_1x1_b.mif,"(240,)",240,16,9.64e-06,0,1,0.469
layer_028_Conv_240x10_1x1_w.npy,layer_028_Conv_240x10_1x1_w.mif,"(240, 10, 1, 1)",2400,8,0.00248793,0,3,2.344
layer_029_Conv_80x240_1x1_w.npy,layer_029_Conv_80x240_1x1_w.mif,"(80, 240, 1, 1)",19200,8,0.00050822,0,19,18.75
layer_030_Conv_480x80_1x1_w.npy,layer_030_Conv_480x80_1x1_w.mif,"(480, 80, 1, 1)",38400,8,0.00088032,0,38,37.5
layer_031_DWConv_480x1_3x3_w.npy,layer_031_DWConv_480x1_3x3_w.mif,"(480, 1, 3, 3)",4320,8,0.00262393,0,5,4.219
layer_032_Conv_20x480_1x1_b.npy,layer_032_Conv_20x480_1x1_b.mif,"(20,)",20,16,1.31e-06,0,1,0.039
layer_032_Conv_20x480_1x1_w.npy,layer_032_Conv_20x480_1x1_w.mif,"(20, 480, 1, 1)",9600,8,0.00035937,0,10,9.375
layer_033_Conv_480x20_1x1_b.npy,layer_033_Conv_480x20_1x1_b.mif,"(480,)",480,16,6.82e-06,0,1,0.938
layer_033_Conv_480x20_1x1_w.npy,layer_033_Conv_480x20_1x1_w.mif,"(480, 20, 1, 1)",9600,8,0.00176056,0,10,9.375
layer_034_Conv_80x480_1x1_w.npy,layer_034_Conv_80x480_1x1_w.mif,"(80, 480, 1, 1)",38400,8,0.00035938,0,38,37.5
