idx,stream,layer_type,out_ch,in_ch,kernel_h,kernel_w,groups,stride,padding,weight_dtype,params,weight_file,bias_file
0,spatial,Conv,32,3,3,3,1,"[2, 2]","[1, 1, 1, 1]",float32,896,layer_000_Conv_32x3_3x3_w.npy,layer_000_Conv_32x3_3x3_b.npy
1,spatial,DWConv,32,1,3,3,32,"[1, 1]","[1, 1, 1, 1]",float32,288,layer_001_DWConv_32x1_3x3_w.npy,none
2,spatial,Conv,8,32,1,1,1,"[1, 1]","[0, 0, 0, 0]",float32,264,layer_002_Conv_8x32_1x1_w.npy,layer_002_Conv_8x32_1x1_b.npy
3,spatial,Conv,32,8,1,1,1,"[1, 1]","[0, 0, 0, 0]",float32,288,layer_003_Conv_32x8_1x1_w.npy,layer_003_Conv_32x8_1x1_b.npy
4,spatial,Conv,16,32,1,1,1,"[1, 1]","[0, 0, 0, 0]",float32,512,layer_004_Conv_16x32_1x1_w.npy,none
5,spatial,Conv,96,16,1,1,1,"[1, 1]","[0, 0, 0, 0]",float32,1536,layer_005_Conv_96x16_1x1_w.npy,none
6,spatial,DWConv,96,1,3,3,96,"[2, 2]","[1, 1, 1, 1]",float32,864,layer_006_DWConv_96x1_3x3_w.npy,none
7,spatial,Conv,4,96,1,1,1,"[1, 1]","[0, 0, 0, 0]",float32,388,layer_007_Conv_4x96_1x1_w.npy,layer_007_Conv_4x96_1x1_b.npy
8,spatial,Conv,96,4,1,1,1,"[1, 1]","[0, 0, 0, 0]",float32,480,layer_008_Conv_96x4_1x1_w.npy,layer_008_Conv_96x4_1x1_b.npy
9,spatial,Conv,24,96,1,1,1,"[1, 1]","[0, 0, 0, 0]",float32,2304,layer_009_Conv_24x96_1x1_w.npy,none
10,spatial,Conv,144,24,1,1,1,"[1, 1]","[0, 0, 0, 0]",float32,3456,layer_010_Conv_144x24_1x1_w.npy,none
11,spatial,DWConv,144,1,3,3,144,"[1, 1]","[1, 1, 1, 1]",float32,1296,layer_011_DWConv_144x1_3x3_w.npy,none
12,spatial,Conv,6,144,1,1,1,"[1, 1]","[0, 0, 0, 0]",float32,870,layer_012_Conv_6x144_1x1_w.npy,layer_012_Conv_6x144_1x1_b.npy
13,spatial,Conv,144,6,1,1,1,"[1, 1]","[0, 0, 0, 0]",float32,1008,layer_013_Conv_144x6_1x1_w.npy,layer_013_Conv_144x6_1x1_b.npy
